,braunlage,braunschweig,norderney,wind_onshore_mps,wind_offshore_mps,pf_onshore,pf_offshore,gen_onshore_mw,gen_offshore_mw,gen_total_mw,energy_onshore_mwh,energy_offshore_mwh,energy_total_mwh
2021-09-07 11:00:00,4.93021190029697,5.4713834923040245,6.928327674907609,5.776641022502869,6.928327674907609,0.029365113161868076,0.08315638310921575,381.746471104285,582.0946817645103,963.8411528687952,381.746471104285,582.0946817645103,963.8411528687952
2021-09-07 12:00:00,4.962753233062016,5.639982652999052,8.720136556349232,6.4409574808034336,8.720136556349232,0.05588694759457538,0.25673889168143493,726.53031872948,1797.1722417700446,2523.7025604995247,726.53031872948,1797.1722417700446,2523.7025604995247
2021-09-07 13:00:00,4.83617336098712,5.698431592005926,8.839590481778675,6.458065144923907,8.839590481778675,0.056724670670649825,0.273161599923427,737.4207187184477,1912.1311994639889,2649.5519181824366,737.4207187184477,1912.1311994639889,2649.5519181824366
2021-09-07 14:00:00,4.7167203811411875,5.620334530850441,8.839590481778675,6.392215131256768,8.839590481778675,0.05354545739758421,0.273161599923427,696.0909461685948,1912.1311994639889,2608.2221456325838,696.0909461685948,1912.1311994639889,2608.2221456325838
2021-09-07 15:00:00,4.600012075578027,5.418451647723262,9.436860108925883,6.485107944075724,9.436860108925883,0.058065901594078734,0.3658429446967708,754.8567207230235,2560.900612877396,3315.7573336004193,754.8567207230235,2560.900612877396,3315.7573336004193
2021-09-07 16:00:00,4.323080429169542,5.154593029291014,9.197952258067,6.225208572175852,9.197952258067,0.046019923029977705,0.3266007302964258,598.2589993897102,2286.2051120749807,2884.464111464691,598.2589993897102,2286.2051120749807,2884.464111464691
2021-09-07 17:00:00,3.608298670650072,4.5749107071145545,8.003413003772584,5.395540793845737,8.003413003772584,0.01885745953021366,0.17181913587328093,245.1469738927776,1202.7339511129665,1447.880925005744,245.1469738927776,1202.7339511129665,1447.880925005744
2021-09-07 18:00:00,2.742405125563457,3.833351772641963,7.047781600337052,4.541179499514157,7.047781600337052,0.005021484680681105,0.09097534002939288,65.27930084885436,636.8273802057502,702.1066810546046,65.27930084885436,636.8273802057502,702.1066810546046
2021-09-07 19:00:00,2.67596623179737,3.555998094637918,6.092150196901519,4.1080381744456025,6.092150196901519,0.0018661074252700144,0.04055591598555739,24.259396528510187,283.8914118989017,308.1508084274119,24.259396528510187,283.8914118989017,308.1508084274119
2021-09-07 20:00:00,2.837939195910549,3.279164698920136,4.897610942607103,3.6715716124792626,4.897610942607103,0.0004154793676802192,0.009373332000126123,5.401231779842849,65.61332400088286,71.0145557807257,5.401231779842849,65.61332400088286,71.0145557807257
2021-09-07 21:00:00,3.053942621802944,3.365500119443833,6.092150196901519,4.170530979382765,6.092150196901519,0.0021999925415461794,0.04055591598555739,28.599903040100333,283.8914118989017,312.49131493900205,28.599903040100333,283.8914118989017,312.49131493900205
2021-09-07 22:00:00,2.9509340890862705,3.3208767780474564,6.5699658986192855,4.280592255251004,6.5699658986192855,0.002880746776625516,0.062411507759113104,37.44970809613171,436.8805543137917,474.3302624099234,37.44970809613171,436.8805543137917,474.3302624099234
2021-09-07 23:00:00,2.808103514947779,3.2568654556456007,6.928327674907609,4.331098881833664,6.928327674907609,0.0032352170859305533,0.08315638310921575,42.057822117097196,582.0946817645103,624.1525038816075,42.057822117097196,582.0946817645103,624.1525038816075
