,energy_onshore_mwh,energy_offshore_mwh,energy_total_mwh
2021-03-19,2872.5714553854127,661.2980779301752,3533.869533315588
2021-03-20,2618.4499703852116,1180.4036898353304,3798.8536602205418
2021-03-21,4333.359545148418,5470.3689000220365,9803.728445170455
2021-03-22,20011.558528724272,63928.52964761848,83940.08817634275
2021-03-23,4225.30029674205,4882.834910147242,9108.135206889292
2021-03-24,3475.0960925397794,1934.1606619108104,5409.25675445059
2021-03-25,10665.591724882124,20228.429995807222,30894.021720689347
2021-03-26,10209.503932269809,28975.282030543276,39184.78596281308
2021-03-27,3638.9220378926643,1239.5274472844353,4878.4494851771
2021-03-28,7863.819183074754,7447.684609025695,15311.50379210045
2021-03-29,8940.172609333637,9829.227798736325,18769.400408069963
2021-03-30,59270.561352195415,158992.06478653845,218262.62613873387
2021-03-31,15534.418402762325,65650.62128499856,81185.03968776089
2021-04-01,10085.498754321263,17783.35408773674,27868.852842058004
2021-04-02,13922.518494644977,25484.064942320605,39406.58343696558
2021-04-03,8478.506183614012,11157.068425203965,19635.574608817977
2021-04-04,5364.632211579659,8383.228447742697,13747.860659322356
2021-04-05,28818.064493314752,108555.3125146883,137373.37700800304
2021-04-06,8357.452166715437,28078.489263375788,36435.941430091225
2021-04-07,5536.943916789321,10020.669806768477,15557.613723557797
2021-04-08,2131.961123380937,1880.0331435542598,4011.994266935197
2021-04-09,11343.827398974,45755.38591279555,57099.21331176955
2021-04-10,10048.722833079188,43072.60232134265,53121.325154421844
2021-04-11,10141.339429123804,32105.88546778903,42247.224896912834
2021-04-12,3855.899418187922,4157.102162535111,8013.001580723033
2021-04-13,8321.530871301222,16356.188554935043,24677.719426236265
2021-04-14,2894.3768463049573,5341.882338822671,8236.259185127628
2021-04-15,4431.1109628886015,4683.9813486080675,9115.092311496668
2021-04-16,2811.188809914163,2513.6574772265635,5324.846287140726
2021-04-17,6589.441433635451,21744.741643770867,28334.18307740632
2021-04-18,11036.486487327555,52213.805266344,63250.291753671554
2021-04-19,6128.2236532425695,18123.91123916137,24252.13489240394
2021-04-20,4191.133949772866,5495.512194153354,9686.64614392622
2021-04-21,1054.1208255019878,16.152206538248905,1070.2730320402368
2021-04-22,1224.130734130809,397.43766446733554,1621.5683985981445
2021-04-23,11673.676095668174,39694.9793350042,51368.65543067238
2021-04-24,20850.153097467635,78892.47779288812,99742.63089035577
