timestamp,action,generation_mwh,demand_mwh,price_eur_per_mwh,to_grid_mwh,to_electrolyser_mwh,h2_produced_kg,tank_soc_kg,energy_flux_battery_kwh,curtailed_mwh,battery_soc_mwh,h2_offtake_kg,grid_revenue_eur,h2_revenue_eur,ancillary_revenue_eur,total_revenue_eur,opex_eur,profit_eur
2023-12-13 12:00:00,electrolyse + grid,399.5190605452614,68755.5,50.0,394.93572721192805,4.583333333333357,83.33333333333394,10000.0,0.0,0.0,0.0,83.33333333333333,19746.7863605964,416.66666666666663,0.0,20163.45302726307,9188.938392541013,10974.514634722056
2023-12-13 13:00:00,electrolyse + grid,402.867933435619,68235.5,50.0,398.28460010228565,4.583333333333357,83.33333333333394,10000.0,0.0,0.0,0.0,83.33333333333333,19914.23000511428,416.66666666666663,0.0,20330.89667178095,9265.962469019238,11064.934202761711
2023-12-13 14:00:00,electrolyse + grid,403.0007081317125,67260.25,50.0,398.4173747983791,4.583333333333357,83.33333333333394,10000.0,0.0,0.0,0.0,83.33333333333333,19920.868739918955,416.66666666666663,0.0,20337.535406585623,9269.016287029388,11068.519119556235
2023-12-13 15:00:00,electrolyse + grid,403.13348282780595,67095.5,50.0,398.5501494944726,4.583333333333357,83.33333333333394,10000.0,0.0,0.0,0.0,83.33333333333333,19927.50747472363,416.66666666666663,0.0,20344.174141390296,9272.070105039536,11072.10403635076
2023-12-13 16:00:00,electrolyse + grid,404.68252094889647,68660.25,50.0,400.0991876155631,4.583333333333357,83.33333333333394,10000.0,0.0,0.0,0.0,83.33333333333333,20004.959380778157,416.66666666666663,0.0,20421.626047444825,9307.697981824618,11113.928065620206
2023-12-13 17:00:00,electrolyse + grid,406.0987843738935,69741.5,50.0,401.51545104056015,4.583333333333357,83.33333333333394,10000.0,0.0,0.0,0.0,83.33333333333333,20075.772552028007,416.66666666666663,0.0,20492.439218694675,9340.272040599551,11152.167178095124
2023-12-13 18:00:00,electrolyse + grid,405.27263070931195,69518.0,50.0,400.6892973759786,4.583333333333357,83.33333333333394,10000.0,0.0,0.0,0.0,83.33333333333333,20034.46486879893,416.66666666666663,0.0,20451.131535465596,9321.270506314175,11129.861029151421
2023-12-13 19:00:00,electrolyse + grid,403.42853770801366,67861.5,50.0,398.8452043746803,4.583333333333357,83.33333333333394,10000.0,0.0,0.0,0.0,83.33333333333333,19942.260218734016,416.66666666666663,0.0,20358.926885400684,9278.856367284314,11080.07051811637
2023-12-13 20:00:00,electrolyse + grid,398.2650773043786,64156.75,50.0,393.68174397104525,4.583333333333357,83.33333333333394,10000.0,0.0,0.0,0.0,83.33333333333333,19684.08719855226,416.66666666666663,0.0,20100.75386521893,9160.096778000709,10940.65708721822
2023-12-13 21:00:00,electrolyse + grid,383.1287619497226,59946.0,50.0,378.54542861638924,4.583333333333357,83.33333333333394,10000.0,0.0,0.0,0.0,83.33333333333333,18927.271430819463,416.66666666666663,0.0,19343.93809748613,8811.96152484362,10531.97657264251
