"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"05/01/2022 04:00:00 - 05/01/2022 05:00:00","BZN|PT","Without Sequence","79.11","",""
"05/01/2022 05:00:00 - 05/01/2022 06:00:00","BZN|PT","Without Sequence","94.79","",""
"05/01/2022 06:00:00 - 05/01/2022 07:00:00","BZN|PT","Without Sequence","169.04","",""
"05/01/2022 07:00:00 - 05/01/2022 08:00:00","BZN|PT","Without Sequence","206.07","",""
"05/01/2022 08:00:00 - 05/01/2022 09:00:00","BZN|PT","Without Sequence","211.13","",""
"05/01/2022 09:00:00 - 05/01/2022 10:00:00","BZN|PT","Without Sequence","213.86","",""
"05/01/2022 10:00:00 - 05/01/2022 11:00:00","BZN|PT","Without Sequence","209.10","",""
"05/01/2022 11:00:00 - 05/01/2022 12:00:00","BZN|PT","Without Sequence","202.80","",""
"05/01/2022 12:00:00 - 05/01/2022 13:00:00","BZN|PT","Without Sequence","199.89","",""
"05/01/2022 13:00:00 - 05/01/2022 14:00:00","BZN|PT","Without Sequence","197.34","",""
"05/01/2022 14:00:00 - 05/01/2022 15:00:00","BZN|PT","Without Sequence","195.60","",""
"05/01/2022 15:00:00 - 05/01/2022 16:00:00","BZN|PT","Without Sequence","200.00","",""
"05/01/2022 16:00:00 - 05/01/2022 17:00:00","BZN|PT","Without Sequence","206.07","",""
"05/01/2022 17:00:00 - 05/01/2022 18:00:00","BZN|PT","Without Sequence","211.23","",""
"05/01/2022 18:00:00 - 05/01/2022 19:00:00","BZN|PT","Without Sequence","225.00","",""
"05/01/2022 19:00:00 - 05/01/2022 20:00:00","BZN|PT","Without Sequence","250.34","",""
"05/01/2022 20:00:00 - 05/01/2022 21:00:00","BZN|PT","Without Sequence","241.93","",""
"05/01/2022 21:00:00 - 05/01/2022 22:00:00","BZN|PT","Without Sequence","218.95","",""
"05/01/2022 22:00:00 - 05/01/2022 23:00:00","BZN|PT","Without Sequence","207.46","",""
"05/01/2022 23:00:00 - 06/01/2022 00:00:00","BZN|PT","Without Sequence","200.00","",""
"06/01/2022 00:00:00 - 06/01/2022 01:00:00","BZN|PT","Without Sequence","207.15","",""
"06/01/2022 01:00:00 - 06/01/2022 02:00:00","BZN|PT","Without Sequence","204.22","",""
"06/01/2022 02:00:00 - 06/01/2022 03:00:00","BZN|PT","Without Sequence","191.82","",""
"06/01/2022 03:00:00 - 06/01/2022 04:00:00","BZN|PT","Without Sequence","180.70","",""
"06/01/2022 04:00:00 - 06/01/2022 05:00:00","BZN|PT","Without Sequence","170.10","",""
"06/01/2022 05:00:00 - 06/01/2022 06:00:00","BZN|PT","Without Sequence","194.38","",""
"06/01/2022 06:00:00 - 06/01/2022 07:00:00","BZN|PT","Without Sequence","204.22","",""
