"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"05/01/2022 18:00 - 05/01/2022 19:00","Portugal (PT)","7625.60","7275.00"
"05/01/2022 19:00 - 05/01/2022 20:00","Portugal (PT)","7941.10","7672.00"
"05/01/2022 20:00 - 05/01/2022 21:00","Portugal (PT)","8011.90","7798.00"
"05/01/2022 21:00 - 05/01/2022 22:00","Portugal (PT)","7733.80","7623.00"
"05/01/2022 22:00 - 05/01/2022 23:00","Portugal (PT)","7267.00","7239.00"
"05/01/2022 23:00 - 06/01/2022 00:00","Portugal (PT)","6813.60","6893.00"
"06/01/2022 00:00 - 06/01/2022 01:00","Portugal (PT)","6183.00","5970.00"
"06/01/2022 01:00 - 06/01/2022 02:00","Portugal (PT)","5629.50","5349.00"
"06/01/2022 02:00 - 06/01/2022 03:00","Portugal (PT)","5211.90","4995.00"
"06/01/2022 03:00 - 06/01/2022 04:00","Portugal (PT)","4984.30","4786.00"
"06/01/2022 04:00 - 06/01/2022 05:00","Portugal (PT)","4851.50","4693.00"
"06/01/2022 05:00 - 06/01/2022 06:00","Portugal (PT)","4822.20","4706.00"
"06/01/2022 06:00 - 06/01/2022 07:00","Portugal (PT)","4900.10","4736.00"
"06/01/2022 07:00 - 06/01/2022 08:00","Portugal (PT)","5220.70","5023.00"
"06/01/2022 08:00 - 06/01/2022 09:00","Portugal (PT)","5771.20","5680.00"
"06/01/2022 09:00 - 06/01/2022 10:00","Portugal (PT)","6530.80","6472.00"
"06/01/2022 10:00 - 06/01/2022 11:00","Portugal (PT)","7079.40","6899.00"
"06/01/2022 11:00 - 06/01/2022 12:00","Portugal (PT)","7236.00","7128.00"
"06/01/2022 12:00 - 06/01/2022 13:00","Portugal (PT)","7364.60","7272.00"
"06/01/2022 13:00 - 06/01/2022 14:00","Portugal (PT)","7296.20","7237.00"
"06/01/2022 14:00 - 06/01/2022 15:00","Portugal (PT)","7231.60","7150.00"
"06/01/2022 15:00 - 06/01/2022 16:00","Portugal (PT)","7374.30","7287.00"
"06/01/2022 16:00 - 06/01/2022 17:00","Portugal (PT)","7267.30","7279.00"
"06/01/2022 17:00 - 06/01/2022 18:00","Portugal (PT)","7253.00","7248.00"
"06/01/2022 18:00 - 06/01/2022 19:00","Portugal (PT)","7523.00","7515.00"
"06/01/2022 19:00 - 06/01/2022 20:00","Portugal (PT)","7913.20","7926.00"
"06/01/2022 20:00 - 06/01/2022 21:00","Portugal (PT)","8058.40","8037.00"
"06/01/2022 21:00 - 06/01/2022 22:00","Portugal (PT)","7870.10","7799.00"
"06/01/2022 22:00 - 06/01/2022 23:00","Portugal (PT)","7430.50","7281.00"
"06/01/2022 23:00 - 07/01/2022 00:00","Portugal (PT)","6838.10","6893.00"
"07/01/2022 00:00 - 07/01/2022 01:00","Portugal (PT)","6217.40","5613.00"
"07/01/2022 01:00 - 07/01/2022 02:00","Portugal (PT)","5656.10","5545.00"
"07/01/2022 02:00 - 07/01/2022 03:00","Portugal (PT)","5188.30","5195.00"
"07/01/2022 03:00 - 07/01/2022 04:00","Portugal (PT)","4895.20","5003.00"
"07/01/2022 04:00 - 07/01/2022 05:00","Portugal (PT)","4849.70","4864.00"
"07/01/2022 05:00 - 07/01/2022 06:00","Portugal (PT)","4813.50","4819.00"
"07/01/2022 06:00 - 07/01/2022 07:00","Portugal (PT)","4889.90","4941.00"
"07/01/2022 07:00 - 07/01/2022 08:00","Portugal (PT)","5247.60","5272.00"
"07/01/2022 08:00 - 07/01/2022 09:00","Portugal (PT)","5827.10","5840.00"
"07/01/2022 09:00 - 07/01/2022 10:00","Portugal (PT)","6612.90","6539.00"
"07/01/2022 10:00 - 07/01/2022 11:00","Portugal (PT)","7073.90","7032.00"
"07/01/2022 11:00 - 07/01/2022 12:00","Portugal (PT)","7108.80","7208.00"
"07/01/2022 12:00 - 07/01/2022 13:00","Portugal (PT)","7153.50","7330.00"
"07/01/2022 13:00 - 07/01/2022 14:00","Portugal (PT)","6990.60","7203.00"
"07/01/2022 14:00 - 07/01/2022 15:00","Portugal (PT)","6810.80","7133.00"
"07/01/2022 15:00 - 07/01/2022 16:00","Portugal (PT)","6863.80","7164.00"
"07/01/2022 16:00 - 07/01/2022 17:00","Portugal (PT)","6822.10","7142.00"
"07/01/2022 17:00 - 07/01/2022 18:00","Portugal (PT)","6850.00","7270.00"
"07/01/2022 18:00 - 07/01/2022 19:00","Portugal (PT)","7177.30","7643.00"
"07/01/2022 19:00 - 07/01/2022 20:00","Portugal (PT)","7678.20","7927.00"
"07/01/2022 20:00 - 07/01/2022 21:00","Portugal (PT)","7833.60","7935.00"
"07/01/2022 21:00 - 07/01/2022 22:00","Portugal (PT)","7673.70","7631.00"
"07/01/2022 22:00 - 07/01/2022 23:00","Portugal (PT)","7272.40","7137.00"
"07/01/2022 23:00 - 08/01/2022 00:00","Portugal (PT)","6709.40","6752.00"
"08/01/2022 00:00 - 08/01/2022 01:00","Portugal (PT)","6154.00","6217.00"
"08/01/2022 01:00 - 08/01/2022 02:00","Portugal (PT)","5643.50","5722.00"
"08/01/2022 02:00 - 08/01/2022 03:00","Portugal (PT)","5201.80","5320.00"
"08/01/2022 03:00 - 08/01/2022 04:00","Portugal (PT)","4938.20","5071.00"
"08/01/2022 04:00 - 08/01/2022 05:00","Portugal (PT)","4762.80","4915.00"
"08/01/2022 05:00 - 08/01/2022 06:00","Portugal (PT)","4677.40","4856.00"
"08/01/2022 06:00 - 08/01/2022 07:00","Portugal (PT)","4689.40","4911.00"
"08/01/2022 07:00 - 08/01/2022 08:00","Portugal (PT)","4804.60","5102.00"
"08/01/2022 08:00 - 08/01/2022 09:00","Portugal (PT)","5008.90","5356.00"
"08/01/2022 09:00 - 08/01/2022 10:00","Portugal (PT)","5315.10","5825.00"
"08/01/2022 10:00 - 08/01/2022 11:00","Portugal (PT)","5770.10","6215.00"
"08/01/2022 11:00 - 08/01/2022 12:00","Portugal (PT)","6052.60","6345.00"
"08/01/2022 12:00 - 08/01/2022 13:00","Portugal (PT)","6222.50","6373.00"
"08/01/2022 13:00 - 08/01/2022 14:00","Portugal (PT)","6368.00","6350.00"
"08/01/2022 14:00 - 08/01/2022 15:00","Portugal (PT)","6286.90","6167.00"
"08/01/2022 15:00 - 08/01/2022 16:00","Portugal (PT)","6089.20","6014.00"
"08/01/2022 16:00 - 08/01/2022 17:00","Portugal (PT)","6030.40","5914.00"
"08/01/2022 17:00 - 08/01/2022 18:00","Portugal (PT)","6101.60","6055.00"
"08/01/2022 18:00 - 08/01/2022 19:00","Portugal (PT)","6609.10","6702.00"
"08/01/2022 19:00 - 08/01/2022 20:00","Portugal (PT)","7220.10","7133.00"
"08/01/2022 20:00 - 08/01/2022 21:00","Portugal (PT)","7410.60","7257.00"
"08/01/2022 21:00 - 08/01/2022 22:00","Portugal (PT)","7275.40","7058.00"
"08/01/2022 22:00 - 08/01/2022 23:00","Portugal (PT)","6858.00","6644.00"
"08/01/2022 23:00 - 09/01/2022 00:00","Portugal (PT)","6370.80","6285.00"
"09/01/2022 00:00 - 09/01/2022 01:00","Portugal (PT)","5882.10","5699.00"
"09/01/2022 01:00 - 09/01/2022 02:00","Portugal (PT)","5349.80","5259.00"
"09/01/2022 02:00 - 09/01/2022 03:00","Portugal (PT)","4889.30","4890.00"
"09/01/2022 03:00 - 09/01/2022 04:00","Portugal (PT)","4637.20","4629.00"
"09/01/2022 04:00 - 09/01/2022 05:00","Portugal (PT)","4470.70","4514.00"
"09/01/2022 05:00 - 09/01/2022 06:00","Portugal (PT)","4410.00","4472.00"
"09/01/2022 06:00 - 09/01/2022 07:00","Portugal (PT)","4392.00","4516.00"
"09/01/2022 07:00 - 09/01/2022 08:00","Portugal (PT)","4490.60","4639.00"
"09/01/2022 08:00 - 09/01/2022 09:00","Portugal (PT)","4541.60","4739.00"
"09/01/2022 09:00 - 09/01/2022 10:00","Portugal (PT)","4684.60","5058.00"
"09/01/2022 10:00 - 09/01/2022 11:00","Portugal (PT)","5202.50","5534.00"
"09/01/2022 11:00 - 09/01/2022 12:00","Portugal (PT)","5759.10","5847.00"
"09/01/2022 12:00 - 09/01/2022 13:00","Portugal (PT)","6171.60","6036.00"
"09/01/2022 13:00 - 09/01/2022 14:00","Portugal (PT)","6456.80","6068.00"
"09/01/2022 14:00 - 09/01/2022 15:00","Portugal (PT)","6299.80","5798.00"
"09/01/2022 15:00 - 09/01/2022 16:00","Portugal (PT)","6024.10","5615.00"
"09/01/2022 16:00 - 09/01/2022 17:00","Portugal (PT)","5969.70","5561.00"
"09/01/2022 17:00 - 09/01/2022 18:00","Portugal (PT)","5978.80","5759.00"
"09/01/2022 18:00 - 09/01/2022 19:00","Portugal (PT)","6410.60","6378.00"
"09/01/2022 19:00 - 09/01/2022 20:00","Portugal (PT)","6873.80","6773.00"
"09/01/2022 20:00 - 09/01/2022 21:00","Portugal (PT)","7110.30","6927.00"
"09/01/2022 21:00 - 09/01/2022 22:00","Portugal (PT)","7048.40","6817.00"
"09/01/2022 22:00 - 09/01/2022 23:00","Portugal (PT)","6679.60","6463.00"
"09/01/2022 23:00 - 10/01/2022 00:00","Portugal (PT)","6174.40","6127.00"
"10/01/2022 00:00 - 10/01/2022 01:00","Portugal (PT)","5673.90","5921.00"
"10/01/2022 01:00 - 10/01/2022 02:00","Portugal (PT)","5219.00","5084.00"
"10/01/2022 02:00 - 10/01/2022 03:00","Portugal (PT)","4842.10","4719.00"
"10/01/2022 03:00 - 10/01/2022 04:00","Portugal (PT)","4608.70","4540.00"
"10/01/2022 04:00 - 10/01/2022 05:00","Portugal (PT)","4522.80","4477.00"
"10/01/2022 05:00 - 10/01/2022 06:00","Portugal (PT)","4489.60","4473.00"
"10/01/2022 06:00 - 10/01/2022 07:00","Portugal (PT)","4622.40","4610.00"
"10/01/2022 07:00 - 10/01/2022 08:00","Portugal (PT)","5096.80","5078.00"
"10/01/2022 08:00 - 10/01/2022 09:00","Portugal (PT)","5864.10","5874.00"
"10/01/2022 09:00 - 10/01/2022 10:00","Portugal (PT)","6673.90","6780.00"
"10/01/2022 10:00 - 10/01/2022 11:00","Portugal (PT)","7183.90","7301.00"
"10/01/2022 11:00 - 10/01/2022 12:00","Portugal (PT)","7288.20","7449.00"
"10/01/2022 12:00 - 10/01/2022 13:00","Portugal (PT)","7447.60","7543.00"
"10/01/2022 13:00 - 10/01/2022 14:00","Portugal (PT)","7346.10","7423.00"
"10/01/2022 14:00 - 10/01/2022 15:00","Portugal (PT)","7274.20","7313.00"
"10/01/2022 15:00 - 10/01/2022 16:00","Portugal (PT)","7404.10","7374.00"
"10/01/2022 16:00 - 10/01/2022 17:00","Portugal (PT)","7332.60","7265.00"
"10/01/2022 17:00 - 10/01/2022 18:00","Portugal (PT)","7311.70","7208.00"
"10/01/2022 18:00 - 10/01/2022 19:00","Portugal (PT)","7518.50","7567.00"
"10/01/2022 19:00 - 10/01/2022 20:00","Portugal (PT)","7888.30","8097.00"
"10/01/2022 20:00 - 10/01/2022 21:00","Portugal (PT)","8066.50","8343.00"
"10/01/2022 21:00 - 10/01/2022 22:00","Portugal (PT)","7918.00","8253.00"
"10/01/2022 22:00 - 10/01/2022 23:00","Portugal (PT)","7475.60","7892.00"
"10/01/2022 23:00 - 11/01/2022 00:00","Portugal (PT)","6827.90","7487.00"
"11/01/2022 00:00 - 11/01/2022 01:00","Portugal (PT)","6155.10","6125.00"
"11/01/2022 01:00 - 11/01/2022 02:00","Portugal (PT)","5612.20","5563.00"
"11/01/2022 02:00 - 11/01/2022 03:00","Portugal (PT)","5198.90","5223.00"
"11/01/2022 03:00 - 11/01/2022 04:00","Portugal (PT)","4968.80","5014.00"
"11/01/2022 04:00 - 11/01/2022 05:00","Portugal (PT)","4896.80","4908.00"
"11/01/2022 05:00 - 11/01/2022 06:00","Portugal (PT)","4838.90","4904.00"
"11/01/2022 06:00 - 11/01/2022 07:00","Portugal (PT)","4937.20","5031.00"
"11/01/2022 07:00 - 11/01/2022 08:00","Portugal (PT)","5334.60","5438.00"
"11/01/2022 08:00 - 11/01/2022 09:00","Portugal (PT)","6081.00","6041.00"
"11/01/2022 09:00 - 11/01/2022 10:00","Portugal (PT)","6892.70","6797.00"
"11/01/2022 10:00 - 11/01/2022 11:00","Portugal (PT)","7261.80","7235.00"
"11/01/2022 11:00 - 11/01/2022 12:00","Portugal (PT)","7229.70","7374.00"
"11/01/2022 12:00 - 11/01/2022 13:00","Portugal (PT)","7229.70","7413.00"
"11/01/2022 13:00 - 11/01/2022 14:00","Portugal (PT)","6996.40","7318.00"
"11/01/2022 14:00 - 11/01/2022 15:00","Portugal (PT)","6810.00","7331.00"
"11/01/2022 15:00 - 11/01/2022 16:00","Portugal (PT)","6908.50","7389.00"
"11/01/2022 16:00 - 11/01/2022 17:00","Portugal (PT)","6832.90","7294.00"
"11/01/2022 17:00 - 11/01/2022 18:00","Portugal (PT)","6871.10","7315.00"
"11/01/2022 18:00 - 11/01/2022 19:00","Portugal (PT)","7201.30","7656.00"
"11/01/2022 19:00 - 11/01/2022 20:00","Portugal (PT)","7776.10","7952.00"
"11/01/2022 20:00 - 11/01/2022 21:00","Portugal (PT)","8054.30","7968.00"
"11/01/2022 21:00 - 11/01/2022 22:00","Portugal (PT)","7918.40","7710.00"
"11/01/2022 22:00 - 11/01/2022 23:00","Portugal (PT)","7484.80","7258.00"
"11/01/2022 23:00 - 12/01/2022 00:00","Portugal (PT)","6857.90","6859.00"
"12/01/2022 00:00 - 12/01/2022 01:00","Portugal (PT)","6202.60","6210.00"
"12/01/2022 01:00 - 12/01/2022 02:00","Portugal (PT)","5651.80","5619.00"
"12/01/2022 02:00 - 12/01/2022 03:00","Portugal (PT)","5240.60","5275.00"
"12/01/2022 03:00 - 12/01/2022 04:00","Portugal (PT)","4998.30","4996.00"
"12/01/2022 04:00 - 12/01/2022 05:00","Portugal (PT)","4890.60","4863.00"
"12/01/2022 05:00 - 12/01/2022 06:00","Portugal (PT)","4849.30","4864.00"
"12/01/2022 06:00 - 12/01/2022 07:00","Portugal (PT)","4959.70","4995.00"
"12/01/2022 07:00 - 12/01/2022 08:00","Portugal (PT)","5369.70","5404.00"
"12/01/2022 08:00 - 12/01/2022 09:00","Portugal (PT)","6147.80","6010.00"
"12/01/2022 09:00 - 12/01/2022 10:00","Portugal (PT)","6937.00","6770.00"
"12/01/2022 10:00 - 12/01/2022 11:00","Portugal (PT)","7260.30","7213.00"
"12/01/2022 11:00 - 12/01/2022 12:00","Portugal (PT)","7154.90","7359.00"
"12/01/2022 12:00 - 12/01/2022 13:00","Portugal (PT)","7176.00","7405.00"
"12/01/2022 13:00 - 12/01/2022 14:00","Portugal (PT)","6926.30","7317.00"
"12/01/2022 14:00 - 12/01/2022 15:00","Portugal (PT)","6764.40","7338.00"
"12/01/2022 15:00 - 12/01/2022 16:00","Portugal (PT)","6859.30","7403.00"
"12/01/2022 16:00 - 12/01/2022 17:00","Portugal (PT)","6831.20","7315.00"
"12/01/2022 17:00 - 12/01/2022 18:00","Portugal (PT)","6890.80","7343.00"
"12/01/2022 18:00 - 12/01/2022 19:00","Portugal (PT)","7202.50","7693.00"
"12/01/2022 19:00 - 12/01/2022 20:00","Portugal (PT)","7842.80","7999.00"
"12/01/2022 20:00 - 12/01/2022 21:00","Portugal (PT)","8101.20","8024.00"
"12/01/2022 21:00 - 12/01/2022 22:00","Portugal (PT)","7933.80","7772.00"
"12/01/2022 22:00 - 12/01/2022 23:00","Portugal (PT)","7468.60","7323.00"
"12/01/2022 23:00 - 13/01/2022 00:00","Portugal (PT)","6847.70","6925.00"
"13/01/2022 00:00 - 13/01/2022 01:00","Portugal (PT)","6213.70","6313.00"
"13/01/2022 01:00 - 13/01/2022 02:00","Portugal (PT)","5588.00","5619.00"
"13/01/2022 02:00 - 13/01/2022 03:00","Portugal (PT)","5244.10","5275.00"
"13/01/2022 03:00 - 13/01/2022 04:00","Portugal (PT)","5024.60","4996.00"
"13/01/2022 04:00 - 13/01/2022 05:00","Portugal (PT)","4916.60","4863.00"
"13/01/2022 05:00 - 13/01/2022 06:00","Portugal (PT)","4882.00","4864.00"
"13/01/2022 06:00 - 13/01/2022 07:00","Portugal (PT)","5016.30","4995.00"
"13/01/2022 07:00 - 13/01/2022 08:00","Portugal (PT)","5412.50","5407.00"
"13/01/2022 08:00 - 13/01/2022 09:00","Portugal (PT)","6179.80","6103.00"
"13/01/2022 09:00 - 13/01/2022 10:00","Portugal (PT)","7055.20","6860.00"
"13/01/2022 10:00 - 13/01/2022 11:00","Portugal (PT)","7350.20","7303.00"
"13/01/2022 11:00 - 13/01/2022 12:00","Portugal (PT)","7286.50","7449.00"
"13/01/2022 12:00 - 13/01/2022 13:00","Portugal (PT)","7288.40","7495.00"
"13/01/2022 13:00 - 13/01/2022 14:00","Portugal (PT)","7058.40","7407.00"
"13/01/2022 14:00 - 13/01/2022 15:00","Portugal (PT)","6885.20","7428.00"
"13/01/2022 15:00 - 13/01/2022 16:00","Portugal (PT)","6982.40","7493.00"
"13/01/2022 16:00 - 13/01/2022 17:00","Portugal (PT)","6961.20","7405.00"
"13/01/2022 17:00 - 13/01/2022 18:00","Portugal (PT)","7034.30","7433.00"
"13/01/2022 18:00 - 13/01/2022 19:00","Portugal (PT)","7352.50","7783.00"
