,energy_mwh
2021-08-28,26369.942956349205
2021-08-29,27220.862103174604
2021-08-30,27939.651785714286
2021-08-31,26570.814484126982
2021-09-01,24925.61755952381
2021-09-02,25061.676587301587
2021-09-03,23349.29761904762
2021-09-04,24616.05059523809
2021-09-05,25136.54910714286
2021-09-06,24783.014880952378
2021-09-07,25273.712797619046
2021-09-08,20866.209821428572
2021-09-09,20017.86259920635
2021-09-10,19985.388888888887
2021-09-11,21289.793154761905
2021-09-12,23125.76785714286
2021-09-13,22627.733630952378
2021-09-14,20442.508432539682
2021-09-15,21980.8060515873
2021-09-16,21140.183035714286
2021-09-17,19940.949404761905
2021-09-18,22206.907738095237
2021-09-19,21844.18204365079
2021-09-20,21125.341765873014
2021-09-21,21186.469246031746
2021-09-22,18842.81349206349
2021-09-23,19184.415674603173
2021-09-24,19658.46775793651
2021-09-25,18843.63988095238
2021-09-26,16511.5873015873
2021-09-27,15337.271825396825
2021-09-28,17075.90128968254
2021-09-29,16188.452380952378
2021-09-30,15523.116567460316
2021-10-01,15851.589285714286
2021-10-02,13983.402281746032
2021-10-03,14925.10615079365
2021-10-04,15799.923115079364
2021-10-05,14816.124007936507
2021-10-06,12897.139384920634
2021-10-07,11115.925595238095
2021-10-08,9104.748015873016
2021-10-09,11173.072916666666
2021-10-10,12035.182043650793
2021-10-11,10249.692956349205
2021-10-12,12113.233630952382
2021-10-13,11188.386408730159
2021-10-14,12250.599702380952
2021-10-15,13080.985615079366
2021-10-16,11548.067956349205
2021-10-17,10943.5560515873
2021-10-18,12631.413194444443
2021-10-19,11717.165674603175
2021-10-20,9868.238591269841
2021-10-21,10164.54117063492
2021-10-22,8913.683531746032
2021-10-23,8439.386904761905
2021-10-24,9327.8814484127
2021-10-25,7697.028273809524
2021-10-26,9147.307043650793
2021-10-27,8958.308531746032
2021-10-28,7666.50248015873
2021-10-29,7129.248511904762
2021-10-30,6947.965773809524
2021-10-31,7339.3452380952385
2021-11-01,6959.7713293650795
2021-11-02,6776.270833333332
2021-11-03,6721.248511904762
2021-11-04,7120.841269841269
2021-11-05,6678.428075396825
2021-11-06,7392.234126984127
2021-11-07,6600.528273809524
2021-11-08,6837.018849206349
2021-11-09,6206.180555555555
2021-11-10,5492.905753968254
2021-11-11,3554.812996031746
2021-11-12,5550.306051587301
2021-11-13,5983.097718253967
2021-11-14,5217.979662698413
2021-11-15,5032.801091269841
2021-11-16,4725.215773809524
2021-11-17,4897.846726190475
2021-11-18,4645.401785714285
2021-11-19,5186.0625
2021-11-20,4698.374999999999
2021-11-21,5105.422123015873
2021-11-22,4806.252480158731
2021-11-23,4536.790674603174
2021-11-24,4666.8120039682535
2021-11-25,4500.142857142857
2021-11-26,2715.5054563492063
2021-11-27,4168.921130952381
2021-11-28,3386.4910714285716
2021-11-29,4253.136904761905
2021-11-30,4446.385416666666
2021-12-01,4689.588293650793
2021-12-02,3989.7971230158732
2021-12-03,3267.8958333333335
2021-12-04,3494.705853174603
2021-12-05,4434.453373015873
2021-12-06,3566.6775793650795
2021-12-07,2965.066468253968
2021-12-08,3663.4241071428564
2021-12-09,3443.3854166666665
2021-12-10,3493.6349206349205
2021-12-11,2973.9459325396824
2021-12-12,3204.6855158730154
2021-12-13,3116.3124999999995
2021-12-14,2972.0401785714284
2021-12-15,3555.049107142857
2021-12-16,3287.847222222222
2021-12-17,3369.204365079365
2021-12-18,2337.280753968254
2021-12-19,3196.303571428571
2021-12-20,3148.0357142857138
2021-12-21,3339.1339285714284
2021-12-22,2957.46875
2021-12-23,2815.6165674603176
2021-12-24,3270.7628968253966
2021-12-25,3403.1706349206347
2021-12-26,3496.2574404761904
2021-12-27,3044.76240079365
2021-12-28,3358.0059523809523
2021-12-29,3519.843253968254
2021-12-30,4306.067956349207
2021-12-31,3713.209821428571
