wind_mw,price,p_grid_mw,soc_h2_pct,m_h2_tank_kg,action
511.9047619047619,103.36,136.3095238095238,0.37878787878787873,6796.116504854369,H2+Grid
551.5873015873016,90.23,174.0079365079365,0.37878787878787873,6796.116504854369,H2+Grid
595.2380952380953,80.23,215.47619047619048,0.37878787878787873,6796.116504854369,H2+Grid
619.047619047619,70.0,238.09523809523807,0.37878787878787873,6796.116504854369,H2+Grid
599.2063492063492,80.43,219.2460317460317,0.37878787878787873,6796.116504854369,H2+Grid
579.3650793650794,121.2,200.39682539682542,0.37878787878787873,6796.116504854369,H2+Grid
599.2063492063492,128.47,219.2460317460317,0.37878787878787873,6796.116504854369,H2+Grid
654.7619047619048,137.73,272.0238095238095,0.37878787878787873,6796.116504854369,H2+Grid
666.6666666666667,137.73,283.33333333333337,0.37878787878787873,6796.116504854369,H2+Grid
515.8730158730159,132.0,140.07936507936506,0.37878787878787873,6796.116504854369,H2+Grid
424.6031746031746,99.9,53.373015873015845,0.37878787878787873,6796.116504854369,H2+Grid
666.6666666666667,91.1,283.33333333333337,0.37878787878787873,6796.116504854369,H2+Grid
666.6666666666667,53.42,283.33333333333337,0.37878787878787873,6796.116504854369,H2+Grid
666.6666666666667,40.3,283.33333333333337,0.37878787878787873,6796.116504854369,H2+Grid
666.6666666666667,25.5,0.0,0.37878787878787873,6796.116504854369,H2
666.6666666666667,24.8,0.0,0.37878787878787873,6796.116504854369,H2
666.6666666666667,20.0,0.0,0.37878787878787873,6796.116504854369,H2
666.6666666666667,14.85,0.0,0.37878787878787873,6796.116504854369,H2
666.6666666666667,14.85,0.0,0.37878787878787873,6796.116504854369,H2
599.2063492063492,14.0,0.0,0.37878787878787873,6796.116504854369,H2
666.6666666666667,18.28,0.0,0.37878787878787873,6796.116504854369,H2
666.6666666666667,20.2,0.0,0.37878787878787873,6796.116504854369,H2
666.6666666666667,18.28,0.0,0.37878787878787873,6796.116504854369,H2
543.6507936507936,14.0,0.0,0.37878787878787873,6796.116504854369,H2
484.1269841269841,10.35,0.0,0.37878787878787873,6796.116504854369,H2
365.07936507936506,8.0,0.0,0.37535216106644675,6734.473724764986,H2
305.55555555555554,5.46,0.0,0.3141534391534391,5636.461704422869,H2
341.26984126984127,4.16,0.0,0.35087267230124364,6295.268916628139,H2
333.33333333333337,8.0,0.0,0.34271284271284275,6148.867313915858,H2
281.74603174603175,24.61,0.0,0.28967395038823607,5197.256896286021,H2
309.5238095238095,40.0,0.0,0.31823335394763963,5709.662505779011,H2+Grid
496.031746031746,43.45,121.23015873015868,0.37878787878787873,6796.116504854369,H2+Grid
638.8888888888889,50.0,256.94444444444446,0.37878787878787873,6796.116504854369,H2+Grid
646.8253968253969,43.45,264.484126984127,0.37878787878787873,6796.116504854369,H2+Grid
662.6984126984127,30.0,0.0,0.37878787878787873,6796.116504854369,H2
444.44444444444446,24.61,0.0,0.37878787878787873,6796.116504854369,H2
190.47619047619048,7.0,0.0,0.19583591012162443,3513.638465094776,H2
349.2063492063492,5.0,0.0,0.3590325018896448,6441.670519340423,H2
587.3015873015873,4.2,0.0,0.37878787878787873,6796.116504854369,H2
638.8888888888889,4.16,0.0,0.37878787878787873,6796.116504854369,H2
623.015873015873,4.16,0.0,0.37878787878787873,6796.116504854369,H2
619.047619047619,4.16,0.0,0.37878787878787873,6796.116504854369,H2
666.6666666666667,4.16,0.0,0.37878787878787873,6796.116504854369,H2
666.6666666666667,4.16,0.0,0.37878787878787873,6796.116504854369,H2
666.6666666666667,4.16,0.0,0.37878787878787873,6796.116504854369,H2
662.6984126984127,5.0,0.0,0.37878787878787873,6796.116504854369,H2
428.5714285714286,5.1,0.0,0.37878787878787873,6796.116504854369,H2
238.0952380952381,5.05,0.0,0.24479488765203053,4392.04808136847,H2
210.31746031746033,4.9,0.0,0.21623548409262697,3879.6424718754815,H2
210.31746031746033,5.0,0.0,0.21623548409262697,3879.6424718754815,H2
218.25396825396825,4.6,0.0,0.22439531368102797,4026.0440745877636,H2
194.44444444444446,4.2,0.0,0.1999158249158249,3586.839266450917,H2
305.55555555555554,4.6,0.0,0.3141534391534391,5636.461704422869,H2
305.55555555555554,7.1,0.0,0.3141534391534391,5636.461704422869,H2
365.07936507936506,17.8,0.0,0.37535216106644675,6734.473724764986,H2
